Name,ID,Image URL,Image URL Hi,Price,Sale Price,New Item,Position,Category Name,Description,Colors
Underline Hooded Sweatshirt,175370,assets.supremenewyork.com/245285/ca/UEOadujWHaU.jpg,assets.supremenewyork.com/245285/rc/UEOadujWHaU.jpg,158.00,0.00,True,18,Sweatshirts,Heavyweight crossgrain brushed-back fleece with pouch pocket. Printed logo on chest.,"Heather Grey,Washed Royal,Bright Orange,White,Pale Yellow,Black,Light Olive"
Elephant Hooded Sweatshirt,175296,assets.supremenewyork.com/245573/ca/8saPthavCp4.jpg,assets.supremenewyork.com/245573/rc/8saPthavCp4.jpg,178.00,0.00,False,19,Sweatshirts,Brushed-back fleece with printed graphic and pouch pocket. Original artwork by Shaun Crawford.,"Black,Green,Heather Grey"
Capital Hooded Sweatshirt,175337,assets.supremenewyork.com/245516/ca/dkTlVdp5_vI.jpg,assets.supremenewyork.com/245516/rc/dkTlVdp5_vI.jpg,158.00,0.00,False,20,Sweatshirts,Heavyweight crossgrain brushed-back fleece with rib gussets and pouch pocket. Embroidered twill logo on chest.,"Bright Gold,Dark Brown,Red,Navy,Ash Grey,Black,Dark Aqua"
Small Box Crewneck,175330,assets.supremenewyork.com/245468/ca/H3viNsF_4v4.jpg,assets.supremenewyork.com/245468/rc/H3viNsF_4v4.jpg,138.00,0.00,False,21,Sweatshirts,Heavyweight crossgrain brushed-back fleece with embroidered logo patch on chest.,"Black,Raspberry,Ash Grey,Dark Brown,Light Olive,Light Slate,Bright Orange"
State Hooded Sweatshirt,175280,assets.supremenewyork.com/245230/ca/zhMvNkUIJgM.jpg,assets.supremenewyork.com/245230/rc/zhMvNkUIJgM.jpg,158.00,0.00,False,22,Sweatshirts,Brushed-back fleece with pouch pocket. Embroidered logo at back sleeves and hood. ,"Ash Grey,Burgundy,Woodland Camo,Black,Purple"
Hockey Hooded Sweatshirt,175342,assets.supremenewyork.com/245387/ca/djrPpvGMmwI.jpg,assets.supremenewyork.com/245387/rc/djrPpvGMmwI.jpg,178.00,0.00,False,23,Sweatshirts,Brushed-back fleece with on seam hand pockets. Tackle twill logo appliqué on chest. Graphic appliqué at sleeves and back.,"Brown,Ash Grey,Royal,Black"
Supreme®/Nike® ACG Denim 6-Panel,175360,assets.supremenewyork.com/248447/ca/5sbKPE9D3Ws.jpg,assets.supremenewyork.com/248447/rc/5sbKPE9D3Ws.jpg,48.00,0.00,True,5,Hats,Water resistant Cordura® cotton denim 6-Panel hat with jacquard logo webbing strap closure. Embroidered logos on front and back. Made exclusively for Supreme.,"Gold Snakeskin,Washed Blue,Black"
Military Camp Cap,175355,assets.supremenewyork.com/246324/ca/ZE4qPS3_IYQ.jpg,assets.supremenewyork.com/246324/rc/ZE4qPS3_IYQ.jpg,48.00,0.00,True,47,Hats,All cotton Supreme camp cap with embroidered graphic on side. ,"Branch Olive Camo,Yellow,Black,Brown,Light Blue"
Sponsors 6-Panel,175356,assets.supremenewyork.com/246482/ca/Pzf_I2n9hss.jpg,assets.supremenewyork.com/246482/rc/Pzf_I2n9hss.jpg,54.00,0.00,True,48,Hats,All cotton chino twill 6-Panel hat with self strap closure. Embroidered graphics on crown and embroidered logo on back. Jacquard logo taping at visor. ,"Black,Khaki,Red,Teal"
Webbing Crusher,175338,assets.supremenewyork.com/246816/ca/gzYvvsUdyIA.jpg,assets.supremenewyork.com/246816/rc/gzYvvsUdyIA.jpg,58.00,0.00,False,49,Hats,Water resistant Supplex® nylon taslan crusher with woven logo taping at crown.,"Red,Pale Blue,Olive,Stone,Black"
Rainbow Speckle Beanie,175298,assets.supremenewyork.com/247002/ca/kLxqTNfAc2I.jpg,assets.supremenewyork.com/247002/rc/kLxqTNfAc2I.jpg,48.00,0.00,False,50,Hats,Wool blend cuffed beanie with embroidered logo on cuff.,"Green,Brown,Navy,Grey,Black,Light Blue"
Overdyed Patch Beanie,175322,assets.supremenewyork.com/247057/ca/kq1g8yTFqn8.jpg,assets.supremenewyork.com/247057/rc/kq1g8yTFqn8.jpg,38.00,0.00,False,51,Hats,All cotton cuffed beanie with embroidered logo patch on cuff.,"Brown,Yellow,Light Blue,Black,Olive"
Supreme®/Pat McGrath Labs <br>Nail Polish (Set of 3),175364,assets.supremenewyork.com/248462/ca/f1GKpvYAcps.jpg,assets.supremenewyork.com/248462/rc/f1GKpvYAcps.jpg,98.00,0.00,True,58,Accessories,"Long lasting, high-shine nail polish. Sold as a set of three 0.5 oz shades. Includes custom logo nail decals. Made exclusively for Supreme.",Multicolor
Supreme®/Nebo Slim 1200 Pocket Light ,175293,assets.supremenewyork.com/247355/ca/Q2I9HiRxIuI.jpg,assets.supremenewyork.com/247355/rc/Q2I9HiRxIuI.jpg,58.00,0.00,False,59,Accessories,"Rechargeable, IPX7 waterproof 1,200 lumen pocket light with five light modes up to 12,000 lumens. Power Bank charges USB-powered devices. Magnetic pocket clip and magnetic base. 4.45” x 1.69” x 0.87”. Made exclusively for Supreme.","Black,Red"
Supreme®/Hanes® Tagless Tees (3 Pack),175320,assets.supremenewyork.com/247724/ca/06flCXqRP5I.jpg,assets.supremenewyork.com/247724/rc/06flCXqRP5I.jpg,30.00,0.00,False,60,Accessories,All cotton classic Hanes® crewneck tee with stamped logo on lower front.,"White,Black"
Supreme®/Hanes® <br>Bandana Tagless Tees (2 Pack),175292,assets.supremenewyork.com/247474/ca/EBEz1fLALZ4.jpg,assets.supremenewyork.com/247474/rc/EBEz1fLALZ4.jpg,34.00,0.00,False,61,Accessories,All cotton classic Hanes® crewneck tee with printed pattern and stamped logo on lower front.,"Red,Black,White"
Supreme®/Hanes® Boxer Briefs (4 Pack),175304,assets.supremenewyork.com/247738/ca/_tun_EOrcwM.jpg,assets.supremenewyork.com/247738/rc/_tun_EOrcwM.jpg,40.00,0.00,False,62,Accessories,All cotton classic Hanes® boxer brief.,"White,Black"
Supreme®/Hanes® <br>Bandana Boxer Briefs (2 Pack),175317,assets.supremenewyork.com/247553/ca/6TQots0X7DQ.jpg,assets.supremenewyork.com/247553/rc/6TQots0X7DQ.jpg,32.00,0.00,False,63,Accessories,All cotton classic Hanes® boxer brief with printed pattern.,"Red,White,Black"
Supreme®/Hanes® Crew Socks (4 Pack),175289,assets.supremenewyork.com/247742/ca/h8iZc0Wh6Do.jpg,assets.supremenewyork.com/247742/rc/h8iZc0Wh6Do.jpg,24.00,0.00,False,64,Accessories,Cotton blend Hanes® cushion comfort crew sock with jacquard logo at top.,"White,Black"
